Programa estratégico,Sistema productivo,Área temática,Nombre del proyecto,Investigador líder,Rol CI Palmira,Institución ejecutora,Aliados estratégicos,Rol del aliado,Problema abordado,Objetivo del proyecto,Justificación estratégica,Política pública asociada,Metodología principal,Variables evaluadas,"Tipo de intervención (I+D+i, Canales OT, Fortalecimiento)",Resultados principales,Productos generados,Publicaciones,Oferta tecnológica,Tipo de tecnología,TRL inicial,TRL final,Estado tecnológico,Impacto técnico,Impacto económico,Impacto social,Impacto ambiental,Departamentos,Municipios,Tipo de beneficiarios,Beneficiarios directos,Beneficiarios indirectos,Área potenciales de adopción,Activos generados,Estado propiedad intelectual,Financiador,Monto del proyecto,Año inicio,Año final,Estado del proyecto,Capacidad_emergente,Capacidad_consolidada,Capacidad_distintiva
Bioeconomía:  Biodiversidad,Aguacate Hass,Manejo sanitario y fitosanitario,Aumento de la productividad del aguacate mediante el uso de polinizadores en tres zonas productoras de Colombia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI: Adaptación y resiliencia de los sistemas productivos agropecuarios frente a condiciones de clima cambiante,Aguacate Hass,Manejo ambiental y sostenibilidad,Reducción del riesgo y adaptación al cambio climático_Modelos de adaptación agroclimática (MAPA). Aguacate Hass (Persea americana Mill.) var. Hass. Facilitadora Regional MAPA: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Otro,Aguacate Hass,Manejo sanitario y fitosanitario,Identificación de ácaros e insectos escamas y sus enemigos naturales promisorios para una producción competitiva de aguacate en Colombia. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Aguacate Hass,Material de siembra y mejoramiento genético,Bases tecnológicas para la producción de material de siembra de aguacate de alta calidad Fase 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Aguacate Hass,Material de siembra y mejoramiento genético,Bases tecnológicas para la producción de material de siembra de aguacate de alta calidad Fase 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Economía circular,Aguacate Hass,Material de siembra y mejoramiento genético,Bases tecnológicas para la producción de material de siembra de aguacate de alta calidad Fase 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Aguacate Hass,Manejo ambiental y sostenibilidad,"Validación metodológica para caracterizar las condiciones biofísicas, socioeconómicas y productivas a escala 1:25.000, para el cultivo de aguacate en la región productora del Tolima, como soporte para el desarrollo de tecnologías de manejo agronómico del cultivo. Lider: Diana Lucia Correa Moreno",,,,,,,,,,,,,,,,,,,,,,,,,Tolima,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI: Adaptación y resiliencia de los sistemas productivos agropecuarios frente a condiciones de clima cambiante,Aguacate Hass,Manejo ambiental y sostenibilidad,"Condiciones biofísicas  y socioeconómicas del sistema productivo de aguacate -  variedad Lorena caracterizadas en la región productora del Tolima, como soporte para el desarrollo de tecnologías de manejo agronómico específicas. Lider: Diana Lucia Correa Moreno",,,,,,,,,,,,,,,,,,,,,,,,,Tolima,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI: Adaptación y resiliencia de los sistemas productivos agropecuarios frente a condiciones de clima cambiante,Aguacate Hass,Manejo ambiental y sostenibilidad,Caracterización de áreas potenciales con enfoque territorial y de adaptación para el desarrollo y producción de cultivos de aguacate con atributos de valor. Lider: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,Tolima,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Ají,Material de siembra y mejoramiento genético,Selección de materiales de Capsicum spp. con atributos diferenciales y ventajas competitivas agronómicas y agroindustriales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Bancos de Germoplasma,Material de siembra y mejoramiento genético,2025 BGA Conservación en Campo BG Vegetal ID 1003076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Cacao,Material de siembra y mejoramiento genético,Identificación de atributos agronómicos en cacao cuya expresión es afectada por el patrón con miras a establecer un programa de mejoramiento genético de patrones que contribuya a realzar el comportamiento de clones de interés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Internacionales,,,,,,,
Bioeconomía:  Biodiversidad,Cacao,Material de siembra y mejoramiento genético,"Selección de patrones de cacao mediante la identificación de atributos agronómicos cuya expresión es afectada por el patrón, con miras a establecer un programa de mejoramiento genético de patrones que contribuya a realzar el comportamiento de clones de interés.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Cacao,Material de siembra y mejoramiento genético,"Evaluación de la acumulación de cadmio de genotipos de cacao, bajo diferentes condiciones edafoclimáticas, como estrategia de mitigación del impacto de contenidos de cadmio biodisponible en suelo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Internacionales,,,,,,,
Bioeconomía:  Biodiversidad,Cacao,Material de siembra y mejoramiento genético,Fase II Cacao para la paz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Internacionales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Cacao,Manejo de sistemas productivos,Implementación de recomendaciones tecnológicas orientadas al fortalecimiento de capacidades y desarrollo sostenible del sistema productivo de cacao en el suroccidente colombiano a partir de estrategias participativas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Internacionales,,,,,,,
Bioeconomía:  Biodiversidad,Cacao,Material de siembra y mejoramiento genético,Merging eco-physiology and ML to select drought tolerant cacao genotypes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Internacionales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Cacao,Manejo de sistemas productivos,Proyecto 88352 - Aplicación y validación de tecnologías para potencializar la competitividad del sistema productivo de cacao en 8 municipios priorizados del departamento del Cauca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Economía circular,Cacao,"Manejo cosecha, poscosecha y transformación","1002666: Viabilidad centros de fermentación en las regiones cacaoteras de Caldas, Huila y Tolima.",Jader Rodríguez Cortina,Líder,AGROSAVIA,"Asociaciones de cacaocultores de Caldas, Huila y Tolima: APROCALG, ASOCAGIGANTE, ASOCAPOTRERILLOS, ASOCARECREO, ASOPECA, ASOPROCAR, ASOCACAO, ASOCATES, APROCAPAL, COCOAGRO, ASOPROBEL, ASOVICA, ASOCAMELIAS, AGROCAMUS, ASPRAFAL, ASOCANORA, ASOCANORCA, ASOSEMILLAS DEL CAMPO, ACA SANDIEGO, AMUCCOL, ASOCAT, ASOESTRELLA, ASOPEP, ASOPROLOMAT, ATACONDOR, RENACER LAS BLANCAS, ASAGROLT, ASOACAS, ASOPEROTOL, AGROEMPORTEGA, AMOCAL, APROCAMAITO, APROCASURT, ASOPROSINEV, ASOCATOL, ASOPARAISO ALTAMIRA, ASOPROMECOL, ECOAPROACIM",Beneficiarios,"Baja disponibilidad de herramientas para establecer la viabilidad para establecer centros comunitarios de valorización poscosecha en Caldas, Huila y Tolima","Desarrollar de una herramienta en excel para establecer la viabilidad para establecer centros comunitarios de valorización poscosecha en Caldas, Huila y Tolima","Aumentar las capacidades de planificación en transporte, procesamiento, análisis de utilidades y escenarios de establecimientos de centros comunitarios de valorización poscosecha en Caldas, Huila y Tolima","Plan Nacional de Desarrollo, Planes departamentales de Desarrollo, PECTIA y CONPES","Modelación matemática para transporte, procesamiento poscosecha y análisis de utilidades (a corto y largo plazo) y escenarios de análisis. Desarrrolo de herramienta en Microsoft Excel utilizando Visual Basic for Applications (VBA), Análisis agroclimático, georreferenciación, modelación espacial","Temperatura máxima, temperatura mínima, temperatura media, precipitación, radiación solar, velocidad del viento, presión de vapor, productividad, rendimiento en grano, calidad organoléptica. ",I+D+i,"Una (1) zonificación agroclimática, Una (1) herramienta de excel para la planificación en transporte, procesamiento, análisis de utilidades y escenarios de establecimientos de centros comunitarios de valorización poscosecha en Caldas, Huila y Tolima","Una (1) herramienta de excel para la planificación en transporte, procesamiento, análisis de utilidades y escenarios de establecimientos de centros comunitarios de valorización poscosecha en Caldas, Huila y Tolima, mapas agroclimáticos, base de datos georreferenciada, estudio de viabilidad, modelo logístico",,Modelo de centros regionales de fermentación para cacao con enfoque agroclimático y logístico,Software,2,5,5,"Mejora en la toma de decisiones para optimizar la fermentación, logística y calidad diferenciada del cacao regional.",Potencial incremento de ingresos mediante valorización del cacao y aprovechamiento comercial de subproductos poscosecha.,"Beneficio a asociaciones cacaoteras de Caldas, Huila y Tolima mediante fortalecimiento organizacional y acceso a modelos asociativos de valor agregado.",Promueve aprovechamiento de subproductos del cacao y reducción de pérdidas poscosecha mediante modelos sostenibles de transformación regional.,"Caldas, Huila y Tolima","Gigante, Rivera, Tesalia, Ospina Pérez, Belalcazar, Mariquita, Norcasia, Santiago Pérez, Ortega, Chaparral",Asociaciones de cacaocultores y extensionistas,600 productores  y/o asistentes técnicos ,"2.500 beneficiarios: productores, comercializadores, transformadores y actores regionales de la cadena de valor",Zonas cacaoteras en Colombia,"Una (1) herramienta de excel para la planificación en transporte, procesamiento, análisis de utilidades y escenarios de establecimientos de centros comunitarios de valorización poscosecha en Caldas, Huila y Tolima",,Entes Internacionales,438479075,2023,2025,Finalizado,,,"Desarrollo de oferta tecnológica transferible
Capacidad de convertir ciencia en productos de valor"
